Genre,Popularity,Length,Release
alternative rock,64,288733,2001
alternative rock,79,219826,2003
britpop,83,357266,1997
garage rock,82,253586,2007
uk hip hop,68,205720,2019
grime,38,101304,2021
gauze pop,53,234372,2020
alternative rock,49,301828,2022
garage rock,90,272394,2013
alternative rock,60,242293,2013
grime,48,155411,2020
alternative rock,60,293773,2001
alternative rock,58,202888,2022
alternative rock,50,163226,2013
alternative rock,51,141733,2003
alternative rock,55,196573,2003
album rock,77,308120,1976
alternative rock,74,228746,2007
pop dance,9,208133,2014
alternative rock,52,218373,2002
alternative rock,54,224506,2006
alternative rock,51,253494,2022
alternative rock,49,263152,2022
alternative rock,58,213093,2006
uk hip hop,67,181550,2021
pop,77,227741,2010
alternative rock,50,297105,2022
alternative rock,62,263800,2016
canadian hip hop,87,298940,2017
alternative rock,61,337333,2020
alternative rock,48,218932,2022
alternative rock,47,231533,2011
garage rock,63,170253,2007
alternative rock,81,309053,2020
alternative rock,49,325160,2006
uk hip hop,0,217704,2019
modern alternative rock,46,211000,2018
grime,0,198031,2020
alternative rock,50,260693,2013
alternative rock,49,226640,2016
alternative rock,58,220523,2022
britpop,53,216859,2022
alternative rock,82,264066,1997
grime,37,162282,2020
uk hip hop,60,185080,2020
alternative rock,85,255373,1999
acoustic rock,31,209520,2001
uk hip hop,72,253093,2019
uk hip hop,53,187671,2021
alternative rock,51,112533,1999
acoustic rock,44,273146,2004
garage rock,43,248600,2018
alternative rock,53,179200,2011
permanent wave,83,263786,2015
gauze pop,40,238805,2020
grime,49,161000,2021
alternative rock,65,207133,2003
afroswing,70,181413,2017
alternative rock,50,335893,2011
melodic drill,55,188689,2020
pop,85,206200,2002
alternative rock,50,207666,2002
alternative rock,46,261466,2011
alternative rock,69,221440,2016
alternative rock,64,248640,1995
dance pop,86,198800,2003
alternative rock,61,375320,2020
alternative rock,54,191693,2006
alternative rock,73,387213,1997
britpop,66,261360,1997
pop,88,247160,2017
alternative rock,59,203240,2011
alternative rock,44,244706,2006
acoustic rock,40,233693,2005
alternative rock,71,247040,1995
pop,89,174000,2019
alternative rock,78,258826,1994
dance pop,84,222533,2014
alternative rock,71,153133,2003
uk hip hop,60,196000,2017
pop,29,227395,2021
indie rock,56,243333,2009
canadian hip hop,78,227880,2013
alternative rock,44,273554,2016
alternative rock,55,186266,2003
alternative rock,67,209626,2011
permanent wave,86,278719,2011
alternative rock,54,276506,2006
alternative rock,70,235546,2011
alternative rock,51,259946,2011
british soul,73,210384,2021
alternative rock,57,299232,2016
alternative rock,54,182026,2011
acoustic rock,36,209520,2004
alternative rock,49,261866,2011
acoustic rock,30,436240,2009
alternative rock,90,238640,1993
alternative rock,58,216786,2013
alternative rock,32,218333,2013
modern alternative rock,32,239441,2018
alternative rock,75,290706,1995
afroswing,50,170106,2020
big room,60,245040,2011
alternative rock,67,169506,2003
alternative rock,60,260808,2022
beatlesque,0,289559,1995
alternative rock,58,153933,2001
art pop,83,320466,2015
art pop,75,208306,2008
alternative rock,48,186000,2006
uk hip hop,70,182285,2021
alternative rock,52,217200,2002
uk hip hop,39,197120,2021
alternative rock,64,230826,2013
alternative rock,58,262373,2022
garage rock,74,173493,2007
alternative rock,58,162040,2003
brooklyn indie,77,156145,2018
alternative rock,70,183440,2001
alternative rock,51,317026,2002
uk drill,71,180000,2020
edm,76,234000,2022
alternative rock,78,193506,2001
uk hip hop,61,202733,2019
rap,44,168920,2022
alternative rock,61,310373,2020
uk hip hop,34,205653,2021
alternative metal,79,232453,1999
alternative rock,31,234733,2006
neo mellow,59,292013,2006
uk hip hop,62,234725,2018
grime,58,180864,2021
acoustic rock,31,215893,2005
sheffield indie,8,211053,2011
alternative rock,64,227440,2004
album rock,70,249573,2001
