Name,Artist,Popularity,Length,Release,Date_Added
Exit Music (For A Film), Radiohead, 76, 4.45, 1997, 2023-12
Let Down, Radiohead, 73, 4.99, 1997, 2023-12
Karma Police, Radiohead, 82, 4.4, 1997, 2023-12
Climbing Up the Walls, Radiohead, 63, 4.75, 1997, 2023-12
No Surprises, Radiohead, 86, 3.82, 1997, 2023-12
Lucky, Radiohead, 65, 4.31, 1997, 2023-12
By the Way, Red Hot Chili Peppers, 79, 3.62, 2002, 2023-12
Universally Speaking, Red Hot Chili Peppers, 63, 4.28, 2002, 2023-12
Dosed, Red Hot Chili Peppers, 67, 5.2, 2002, 2023-12
Don't Forget Me, Red Hot Chili Peppers, 64, 4.62, 2002, 2023-12
The Zephyr Song, Red Hot Chili Peppers, 75, 3.87, 2002, 2023-12
Can't Stop, Red Hot Chili Peppers, 87, 4.48, 2002, 2023-12
I Could Die for You, Red Hot Chili Peppers, 62, 3.21, 2002, 2023-12
Midnight, Red Hot Chili Peppers, 51, 4.93, 2002, 2023-12
Throw Away Your Television, Red Hot Chili Peppers, 52, 3.75, 2002, 2023-12
Cabron, Red Hot Chili Peppers, 53, 3.64, 2002, 2023-12
Tear, Red Hot Chili Peppers, 51, 5.28, 2002, 2023-12
On Mercury, Red Hot Chili Peppers, 51, 3.46, 2002, 2023-12
Minor Thing, Red Hot Chili Peppers, 52, 3.62, 2002, 2023-12
Warm Tape, Red Hot Chili Peppers, 47, 4.27, 2002, 2023-12
Venice Queen, Red Hot Chili Peppers, 55, 6.12, 2002, 2023-12
Bicycle Song - 2006 Remaster, Red Hot Chili Peppers, 49, 3.39, 2002, 2023-12
Bouff Daddy, J Hus, 61, 3.42, 2017, 2023-12
Did You See, J Hus, 70, 3.02, 2017, 2023-12
Spirit, J Hus, 60, 3.57, 2017, 2023-12
Daylight, Maroon 5, 76, 3.75, 2012, 2023-12
No Suburban Pt. 2, Sheff G, 69, 2.56, 2020, 2023-12
Heart-Shaped Box, Nirvana, 82, 4.69, 1993, 2023-12
Don't Look Back In Anger - Remastered, Oasis, 0, 4.83, 1995, 2023-12
The Other Side Of Paradise, Glass Animals, 72, 5.34, 2016, 2023-12
Bad Romance, Lady Gaga, 87, 4.91, 2009, 2023-12
Brianstorm, Arctic Monkeys, 63, 2.84, 2007, 2023-12
Teddy Picker, Arctic Monkeys, 65, 2.68, 2007, 2023-12
Fluorescent Adolescent, Arctic Monkeys, 74, 2.89, 2007, 2023-12
Old Yellow Bricks, Arctic Monkeys, 61, 3.12, 2007, 2023-12
505, Arctic Monkeys, 83, 4.23, 2007, 2023-12
Am I Wrong, Nico & Vinz, 80, 4.1, 2014, 2023-12
Unreachable, John Frusciante, 30, 6.17, 2009, 2023-12
Central, John Frusciante, 31, 7.27, 2009, 2023-12
30 Minute Boyfriend, Julian Casablancas, 36, 3.52, 2009, 2023-12
Do I Wanna Know?, Arctic Monkeys, 90, 4.54, 2013, 2023-12
R U Mine?, Arctic Monkeys, 85, 3.36, 2013, 2023-12
Why'd You Only Call Me When You're High?, Arctic Monkeys, 91, 2.69, 2013, 2023-12
Snap Out Of It, Arctic Monkeys, 82, 3.22, 2013, 2023-12
